Team,Massey_Total,Massey_Off,Massey_Def
Air Force,-0.7375786782487641,28.8,40.5
Akron,-1.2071225525845897,24.1,39.6
Alabama,2.372647919153933,38.7,5.6
App State,0.13769269413398305,29.5,24.8
Arizona,0.31095878051173337,38.1,33.9
Arizona State,0.15761061883076768,33.9,33.1
Arkansas,-0.016577375888038596,34.1,31.8
Arkansas State,-0.1335659325178727,29.3,28.6
Army,-0.21883378542041787,32.1,35.0
Auburn,1.7638087182357176,35.4,11.0
BYU,-0.6442668983989612,18.6,25.8
Ball State,-1.8531812556097322,20.3,37.7
Baylor,-0.26636242808522337,26.9,29.0
Boise State,0.5336510508312751,28.6,20.5
Boston College,0.41885053898425245,25.2,19.9
Bowling Green,-1.077075703754482,27.5,38.9
Buffalo,-0.7819592263859061,24.9,33.9
California,0.0008423087069971968,28.7,29.9
Central Michigan,-0.6865260514785925,21.4,28.2
Charlotte,-2.041605886870773,13.7,37.7
Cincinnati,-0.7799711307789963,23.3,28.2
Clemson,1.9331123551039737,36.5,8.3
Coastal Carolina,,,
Colorado,0.01418968857487292,30.3,30.1
Colorado State,0.0122461448522337,34.6,32.7
Duke,0.4524926885931507,25.5,19.2
East Carolina,-1.2272822161114176,27.2,41.8
Eastern Michigan,-0.5056710422153261,22.0,26.4
Florida,0.48626902367286706,30.8,22.4
Florida Atlantic,0.24086555077840344,34.7,31.3
Florida International,-0.9993880266753784,24.0,35.0
Florida State,1.3594461282045436,33.3,12.5
Fresno State,-0.10045043133826766,22.3,25.5
Georgia,1.9791919459035832,39.6,15.4
Georgia Southern,-1.3065641447238916,18.3,35.5
Georgia State,-1.1974949626527884,17.0,28.6
Georgia Tech,0.6023021342747303,34.9,25.1
Hawai'i,-1.4820200826480465,23.3,40.4
Houston,0.32610308859585074,32.3,25.8
Idaho,-1.1151738739869408,18.7,30.2
Illinois,-0.8175127631455932,21.6,29.9
Indiana,0.49380556835541445,28.6,20.2
Iowa,0.7955173811777394,28.4,19.4
Iowa State,0.6448471524201468,38.2,30.7
Kansas,-1.270821742431977,21.6,36.7
Kansas State,0.7305626434374235,34.4,26.1
Kent State,-1.7363700899430818,14.3,32.4
Kentucky,0.11480502133925397,30.8,29.5
LSU,1.3200069198378017,35.6,14.0
Louisiana,-1.3538239213522136,27.5,42.9
Louisiana Tech,-0.5135472112816917,26.8,32.7
Louisville,1.2104781647112346,43.3,24.9
Marshall,-0.3935608586040966,19.4,23.9
Maryland,-0.41771052449538804,26.7,28.3
Massachusetts,-0.7836619520218782,24.1,31.9
Memphis,0.6121204659486708,37.6,30.6
Miami,1.1615832329156175,35.3,17.0
Miami (OH),-0.4565192140471166,24.2,26.9
Michigan,1.1547410945432555,31.1,11.8
Michigan State,0.804544307007937,27.7,15.1
Middle Tennessee,-0.5891162555334131,21.2,26.8
Minnesota,-0.03558532718449925,23.9,22.1
Mississippi State,1.1000527869632994,32.4,18.1
Missouri,0.6187700210921413,35.5,26.4
NC State,0.9725744762105868,38.0,23.3
Navy,0.012976425430933483,32.5,32.1
Nebraska,-0.03309123042794357,25.6,23.7
Nevada,-1.1201625278717402,25.6,41.1
New Mexico,-1.1204915984298909,20.8,34.2
New Mexico State,-0.8468556010913078,24.5,32.6
North Carolina,0.15694330500386344,29.3,25.9
North Texas,-0.5481347134645811,28.6,34.3
Northern Illinois,-0.22669940066111566,21.0,20.5
Northwestern,0.7793610707943304,28.8,17.4
Notre Dame,1.5071475296075678,37.4,16.9
Ohio,0.12619876403051086,32.2,30.6
Ohio State,2.2106832143739226,42.9,12.8
Oklahoma,1.8235013323378695,49.8,24.2
Oklahoma State,1.3659918476854527,42.2,23.0
Old Dominion,-1.413755972425968,16.3,32.8
Ole Miss,0.48456629803689505,38.9,28.8
Oregon,0.6802283275820604,35.0,25.1
Oregon State,-1.0321689328365755,28.8,39.9
Penn State,1.9491064320667484,41.5,14.9
Pittsburgh,0.2600352751238106,31.4,25.0
Purdue,0.3357633301943496,28.6,22.1
Rice,-1.86058910455856,19.2,40.9
Rutgers,-0.5751208627263751,23.3,29.0
SMU,-0.2541841851255455,35.4,37.4
San Diego State,0.23251050776883223,28.5,24.8
San José State,-1.777752842032463,15.2,37.5
South Alabama,-1.133646890163722,18.3,31.4
South Carolina,0.5520261814542817,28.4,19.7
South Florida,0.5447837538047465,31.6,21.2
Southern Miss,-0.4692709939019579,24.9,28.3
Stanford,1.1905345286462334,37.7,24.5
Syracuse,0.13797211399613443,29.3,27.3
TCU,1.3525980397233948,35.7,18.7
Temple,-0.1798638179145901,25.1,24.1
Tennessee,-0.10075928026529976,25.8,25.7
Texas,0.7873990129096423,26.7,16.3
Texas A&M,0.5510629091076129,33.1,25.2
Texas State,-1.9623657826356,14.7,36.9
Texas Tech,0.3644733474666102,34.4,28.3
Toledo,0.25575572472005714,32.2,25.7
Troy,-0.0015626495578581405,27.5,23.5
Tulane,-0.4422972399525842,28.5,35.0
Tulsa,-0.7334011567439784,27.3,37.8
UAB,,,
UCF,1.0470198561817572,40.5,26.9
UCLA,0.3371048287003208,39.3,34.5
UConn,-1.4244258797421587,22.4,40.7
UL Monroe,-1.010117678141548,32.3,45.5
UNLV,-1.0612920950701175,26.2,39.8
USC,1.1845922354970564,38.5,20.0
UTEP,-2.174446048302177,12.8,38.7
UTSA,-0.4613364618006781,18.7,22.5
Utah,0.665407991244365,30.6,20.5
Utah State,-0.3961225258293291,24.4,28.0
Vanderbilt,-0.15273565686327983,32.3,29.0
Virginia,-0.14505940224965677,25.0,23.3
Virginia Tech,1.0408620306656007,27.8,14.4
Wake Forest,0.7146103908519499,35.7,25.1
Washington,1.6673759710646916,39.4,16.3
Washington State,0.568377342201864,30.9,22.1
West Virginia,0.3609130287210416,33.6,27.2
Western Kentucky,-0.7731974836186872,25.5,30.0
Western Michigan,-0.29762674663570643,25.7,28.4
Wisconsin,1.8488275010843687,37.4,11.6
Wyoming,-0.27333691044165126,19.7,23.1
nationalAverages,,28.9046875,27.23515625
